persediaan_id,produk_id,jumlah_stok,lokasi_gudang,tanggal_update
1.00,14.00,152.00,Gudang E,2024-04-21 16:05:56
2.00,5.00,56.00,Gudang B,2024-08-16 13:49:10
3.00,12.00,88.00,Gudang E,2024-05-23 12:28:40
4.00,16.00,89.00,Gudang A,2024-02-03 14:49:24
5.00,1.00,117.00,Gudang E,2024-09-16 05:30:13
6.00,1.00,104.00,Gudang B,2024-01-25 01:08:11
7.00,9.00,116.00,Gudang C,2024-03-04 03:19:45
8.00,10.00,121.00,Gudang C,2024-08-10 05:40:10
9.00,8.00,197.00,Gudang D,2024-05-07 10:03:54
10.00,16.00,192.00,Gudang B,2024-01-08 19:20:35
11.00,14.00,44.00,Gudang B,2024-11-09 07:20:44
12.00,12.00,120.00,Gudang C,2024-07-20 14:38:10
13.00,16.00,79.00,Gudang E,2024-10-11 17:32:05
14.00,8.00,12.00,Gudang B,2024-06-18 11:58:54
15.00,19.00,146.00,Gudang E,2024-10-09 18:47:19
16.00,6.00,197.00,Gudang E,2024-11-09 22:07:35
17.00,16.00,92.00,Gudang B,2024-09-16 14:59:37
18.00,6.00,33.00,Gudang B,2024-11-27 07:17:18
19.00,19.00,27.00,Gudang A,2024-02-15 05:25:03
20.00,5.00,119.00,Gudang B,2024-10-05 16:04:15
